state,per_student_spend
Alabama,10077
Alaska,18394
Arizona,8625
Arkansas,10388
California,14034
Colorado,11030
Connecticut,21310
Delaware,16315
District of Columbia,22562
Florida,9645
Georgia,11228
Hawaii,16132
Idaho,7985
Illinois,16227
Indiana,10397
Iowa,11907
Kansas,11926
Kentucky,11291
Louisiana,11755
Maine,14614
Maryland,15148
Massachusetts,17748
Michigan,12756
Minnesota,13387
Mississippi,9284
Missouri,11200
Montana,12018
Nebraska,12743
Nevada,9344
New Hampshire,17462
New Jersey,20512
New Mexico,10177
New York,25139
North Carolina,9857
North Dakota,14004
Ohio,13538
Oklahoma,9323
Oregon,12450
Pennsylvania,16864
Rhode Island,16750
South Carolina,11140
South Dakota,10139
Tennessee,9868
Texas,9827
Utah,8014
Vermont,20315
Virginia,12641
Washington,14223
West Virginia,12010
Wisconsin,12598
Wyoming,16304
